ค่าย,ประเภทแพ็กเกจ,ชื่อแพ็กเกจ, ค่าบริการ ,หน่วยราคา,โทรในเครือข่าย,โทรนอกเครือข่าย,เงื่อนไขโทร,ปริมาณเน็ต,ความเร็วเน็ตสูงสุด,Wifi,ส่วนเกินค่าโทรในเครือข่าย,ส่วนเกินค่าโทรนอกเครือข่าย,ส่วนเกินค่าเน็ต,SMS,MMS,ส่วนเกินSMS ,ส่วนเกินMMS ,ของแถม,เงื่อนไขเพิ่มเติม,Type,price,baht,call,min,netcapacity,gb,speed,mbps
AIS,รายเดือน,iSecond,345,บาท/เดือน,"4,800 วินาที ","4,800 วินาที ",(ทุกเครือข่าย),750 MB,Full Speed,AIS Super Wifi (ไม่จำกัด), 3 สต./วินาที , 3 สต./วินาที ,-,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,"หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 128 Kbps, รับสิทธิ์นาน 12 รอบบิล, อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล",4G/3G,345,,80,,0.75,,9999,
AIS,รายเดือน,คุยวินาที,730,บาท/เดือน,"54,000 วินาที ","54,000 วินาที ",(ทุกเครือข่าย),-,-,-, 0.16 บ./วินาที , 0.16 บ./วินาที ,0.90 บาท/MB,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล,4G/3G,730,,900,,0,,0,
AIS,รายเดือน,คุยวินาที,547,บาท/เดือน,"36,000 วินาที ","36,000 วินาที ",(ทุกเครือข่าย),-,-,-, 0.16 บ./วินาที , 0.16 บ./วินาที ,0.90 บาท/MB,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล,4G/3G,547,,600,,0,,0,
AIS,รายเดือน,คุยวินาที,365,บาท/เดือน,"24,000 วินาที ","24,000 วินาที ",(ทุกเครือข่าย),-,-,-, 0.16 บ./วินาที , 0.16 บ./วินาที ,0.90 บาท/MB,-,-, 2.5 บ./ข้อความ , 4 บ./ข้อความ ,YouTube Premium 3 เดือน,อัตราค่าบริการคิดตามการใช้งานจริงเป็นวินาที/รอบบิล,4G/3G,365,,400,,0,,0,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,"1,899",บาท/เดือน,400 นาที ,400 นาที ,(ทุกเครือข่าย),ไม่จำกัด,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,370 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน, ใช้ 3G ได้ 30 GB,4G/3G,1899,,400,,9999,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,"1,499",บาท/เดือน,350 นาที ,350 นาที ,(ทุกเครือข่าย),ไม่จำกัด,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,320 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน, ใช้ 3G ได้ 25 GB,4G/3G,1499,,350,,9999,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,"1,299",บาท/เดือน,300 นาที ,300 นาที ,(ทุกเครือข่าย),ไม่จำกัด,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,270 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน, ใช้ 3G ได้ 20 GB,4G/3G,1299,,300,,9999,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,"1,099",บาท/เดือน,250 นาที ,250 นาที ,(ทุกเครือข่าย),ไม่จำกัด,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,220 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน, ใช้ 3G ได้ 16 GB,4G/3G,1099,,250,,9999,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,999,บาท/เดือน,200 นาที ,200 นาที ,(ทุกเครือข่าย),8 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,170 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน,"ใช้ 4G/3G ได้ 12 GB, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,999,,200,,8,,300,
AIS,รายเดือน,4G Max Speed Non-Stop Plus,799,บาท/เดือน,150 นาที ,150 นาที ,(ทุกเครือข่าย),5 GB,300 Mbps,AIS Super Wifi (ไม่จำกัด), 2 สต./วินาที , 2 สต./วินาที ,-,120 ข้อความ,5 ข้อความ, 1.1 บ./ข้อความ  , 3.1 บ./ข้อความ ,YouTube Premium 4 เดือน,"ใช้ 4G/3G ได้ 10 GB, หลังจากใช้งาน Internet ครบตามปริมาณที่กำหนด สามารถเล่นเน็ตได้ต่อเนื่อง ความเร็วสูงสุด 384 Kbps",4G/3G,799,,150,,5,,300,
